Article,Noun,Plural / Additional Info
die,Mail,-s
der,Betreff,-e
die,Anrede,-n
die,Schorle,-n
das,Eis (Sg.),
die,Salami,-s
das,Schnitzel,-
die,Tomatensuppe,-n
der,Sandwich,-s
der,Durst (Sg.),
der,Hunger (Sg.),
die,Speisekarte,-n
die,Bestellung,-en
die,Rechnung,-en
das,Trinkgeld (Sg.),
die,Gabel,-n
das,Messer,-
der,Löffel,-
das,Glas,"-""er"
die,Tasse,-n
der,Teller,-
die,Serviette,-n
die,Kneipe,-n
das,Kaffeehaus,"-""er"
das,Lokal,-e
der,Biergarten,"-"""
die,Bank,"-""e"
die,Selbstbedienung (Sg.),
das,Programm,-e
der,Treffpunkt,-e
der,Eintritt,-e
die,Anmeldung,-en
die,Karte,-n
der,Spielplatz,"-""e"
der,Arbeitsalltag (Sg.),
der,Bäcker,-
der,Zahnarzt,"-""e"
der,Hausmeister,-
der,Mitarbeiter,-
die,Mitarbeiterin,-nen
das,Praktikum,Praktika
der,Bericht,-e
die,Präsentation,-en
der,Fehler,-
die,Pause,-n
der,Urlaub,-e
die,Medien (Pl.),
die,Datei,-en
der,Drucker,-
das,Passwort,"-""er"
der,Blog,-s
der,Akku,-s
das,WLAN (Sg.),
das,Netz,-e (Ich habe kein Netz.)
die,Bank,-en
der,Automat,-en
das,Konto,Konten
die,Kontonummer,-n
die,Kreditkarte,-n
der,Brief,-e
die,Post (Sg.),
der,Absender,-
der,Empfänger,-
die,Unterschrift,-en
das,Mitglied,-er
der,Kontakt,-e
das,Lied,-er
die,Musikgruppe,-n
die,Spezialität,-en
der,Small Talk,-s
das,Leben,-
der,Aufzug,"-""e"
die,Politik (Sg.),
die,Serie,-n
die,Religion,-en
die,meisten (Das mögen die meisten Leute nicht.),
der,Nachbar,"-n / die Nachbarin, -nen"
das,Paket,-e
das,Sprachinstitut,-e
die,Sportlerin,-nen
die,Süßigkeit,-en
das,Alter (Sg.),
die,Größe,-n
das,Gewicht (Sg.),
der,Körper,-
der,Kopf,"-""e"
der,Hals,"-""e"
der,Bauch,"-""e"
der,Rücken,-
der,Arm,-e
die,Hand,"-""e"
der,Finger,-
das,Bein,-e
das,Knie,-
der,Fuß,"-""e"
das,Gesicht,-er
der,Mund,"-""er"
der,Zahn,"-""e"
das,Auge,-n
das,Ohr,-en
die,Nase,-n
das,Haar,-e
der,Unfall,"-""e"
der,Schmerz,-en
die,Wunde,-n
der,Verband,"-""e"
das,Pflaster,-
die,Salbe,-n
das,Rezept,-e
die,Apotheke,-n
der,Doktor,-en
die,Krankheit,-en
der,Schnupfen,-
das,Fieber (Sg.),
die,...schmerzen (Pl.) (Halsschmerzen,
die,Tablette,-n
der,Saft,"-""e (Er nimmt einen Saft gegen den"
der,Tropfen,-
die,Spritze,-n
das,Hausmittel,-
die,Kontrolle,-n
der,Notarzt,"-""e"
die,Physiotherapeutin,-nen
die,Übung,-en
der,Krankenpfleger,-
die,Laborantin,-nen
das,Blut (Sg.),
das,Ergebnis,-se
die,Tafel,-n
das,Fenster,- (Mach bitte das Fenster auf.)
die,Freizeit (Sg.),
das,Experiment,-e
der,Tipp,-s
die,App,-s
